,T /s,C /ms^-1,U /ms^-1,LMBD /m
581,5.82,1.96520711,1.93427525,11.4375054
582,5.83,1.96526096,1.9344336,11.4574714
583,5.84,1.96531455,1.93459114,11.4774369
584,5.85,1.96536785,1.93474789,11.4974019
585,5.86,1.96542089,1.93490385,11.5173664
586,5.87,1.96547365,1.93505902,11.5373303
587,5.88,1.96552614,1.93521341,11.5572937
588,5.89,1.96557837,1.93536702,11.5772566
589,5.9,1.96563033,1.93551987,11.597219
590,5.91,1.96568203,1.93567195,11.6171808
591,5.92,1.96573346,1.93582326,11.6371421
592,5.93,1.96578464,1.93597382,11.6571029
593,5.94,1.96583555,1.93612363,11.6770632
594,5.95,1.96588621,1.9362727,11.697023
595,5.96,1.96593662,1.93642102,11.7169822
596,5.97,1.96598677,1.93656861,11.736941
597,5.98,1.96603667,1.93671547,11.7568993
598,5.99,1.96608632,1.9368616,11.7768571
